Trade #,Buy Amount (USDT),Sell Gross (USDT),Fee (0.4%),Sell After Fee,Net Profit,Total Capital (USDT),Total Capital (INR),Growth %
270,14.536155,14.754197,0.059017,14.695181,0.159026,15.967579,1277.41,1496.76
271,14.681517,14.901739,0.059607,14.842132,0.160616,16.128195,1290.26,1512.82
272,14.828332,15.050757,0.060203,14.990554,0.162222,16.290417,1303.23,1529.04
273,14.976615,15.201264,0.060805,15.140459,0.163844,16.454261,1316.34,1545.43
274,15.126381,15.353277,0.061413,15.291864,0.165483,16.619744,1329.58,1561.97
275,15.277645,15.50681,0.062027,15.444783,0.167137,16.786881,1342.95,1578.69
276,15.430422,15.661878,0.062648,15.59923,0.168809,16.95569,1356.46,1595.57
277,15.584726,15.818497,0.063274,15.755223,0.170497,17.126187,1370.09,1612.62
278,15.740573,15.976682,0.063907,15.912775,0.172202,17.298389,1383.87,1629.84
279,15.897979,16.136448,0.064546,16.071903,0.173924,17.472313,1397.79,1647.23
280,16.056959,16.297813,0.065191,16.232622,0.175663,17.647976,1411.84,1664.8
281,16.217528,16.460791,0.065843,16.394948,0.17742,17.825396,1426.03,1682.54
282,16.379703,16.625399,0.066502,16.558897,0.179194,18.004589,1440.37,1700.46
283,16.5435,16.791653,0.067167,16.724486,0.180986,18.185575,1454.85,1718.56
284,16.708935,16.959569,0.067838,16.891731,0.182796,18.368371,1469.47,1736.84
285,16.876025,17.129165,0.068517,17.060648,0.184624,18.552995,1484.24,1755.3
286,17.044785,17.300457,0.069202,17.231255,0.18647,18.739465,1499.16,1773.95
287,17.215233,17.473461,0.069894,17.403568,0.188335,18.927799,1514.22,1792.78
288,17.387385,17.648196,0.070593,17.577603,0.190218,19.118017,1529.44,1811.8
289,17.561259,17.824678,0.071299,17.753379,0.19212,19.310138,1544.81,1831.01
290,17.736872,18.002925,0.072012,17.930913,0.194041,19.504179,1560.33,1850.42
291,17.91424,18.182954,0.072732,18.110222,0.195982,19.700161,1576.01,1870.02
292,18.093383,18.364784,0.073459,18.291324,0.197942,19.898102,1591.85,1889.81
293,18.274317,18.548431,0.074194,18.474238,0.199921,20.098023,1607.84,1909.8
294,18.45706,18.733916,0.074936,18.65898,0.20192,20.299944,1624,1929.99
295,18.64163,18.921255,0.075685,18.84557,0.203939,20.503883,1640.31,1950.39
296,18.828047,19.110467,0.076442,19.034025,0.205979,20.709862,1656.79,1970.99
297,19.016327,19.301572,0.077206,19.224366,0.208039,20.9179,1673.43,1991.79
298,19.20649,19.494588,0.077978,19.416609,0.210119,21.128019,1690.24,2012.8
299,19.398555,19.689534,0.078758,19.610775,0.21222,21.34024,1707.22,2034.02
300,19.592541,19.886429,0.079546,19.806883,0.214342,21.554582,1724.37,2055.46
